Name, Operon, Challenge, WT
cyoD,cyoABCDE,128.69,61.49
cyoE,cyoABCDE,109.63,53.14
cyoE,cyoE,109.63,53.14
cysA,cysPUWAM,46.41,30.8
cysB,cysB,182.94,208.11
cysC,cysDNC,91.1,167.41
cysC,cysC,91.1,167.41
cysD,cysDNC,42.05,66.97
cysE,cysE,93,164.56
cysG,nirBDC-cysG,52.54,59.07
cysG,cysG,52.54,59.07
cysH,cysH,28.89,0
cysH,cysJIH,28.89,0
cysI,cysJIH,19.83,11.84
cysJ,cysJIH,28.31,26.3
cysK,cysK,327.69,201.79
cysM,cysPUWAM,27.94,14.83
cysN,cysDNC,23.79,18.95
cysP,cysPUWAM,62.64,19.95
cysQ,cysQ,103.16,73.02
cysS,cysS,36.77,48.8
cysT,glyW-cysT-leuZ,631.28,0
cysT,cysT-leuZ,631.28,0
cysU,cysPUWAM,10.18,0
cysW,cysPUWAM,19.39,54.05
cysZ,cysZ,323.25,408.29
cytR,cytR,57.95,92.29
dacA,dacA,38.54,61.38
dacB,dacB,68.12,70.75
dacC,dacC,67.07,112.44
dacD,dacD,54.59,52.16
dadA,dadAX,166.73,20.83
dadX,dadAX,103.1,107.36
dam,dam-rpe-gph-trpS,208.03,339.39
dam,damX-dam-rpe-gph-trpS,208.03,339.39
dam,aroKB-damX-dam-rpe-gph-trpS,208.03,339.39
damX,damX-dam-rpe-gph-trpS,72.6,42.04
damX,aroKB-damX-dam-rpe-gph-trpS,72.6,42.04
dapA,dapA-nlpB,67.64,23.08
dapB,dapB,20.67,32.91
dapD,dapD,128.69,81.98
dapD,map-glnD-dapD,128.69,81.98
dapE,dapE-ypfN,41.41,59.96
dapE,yffB-dapE-ypfN,41.41,59.96
dapF,yifL-dapF-yigA-xerC-yigB,51.48,57.39
dbpA,dbpA-C0343,43.27,108.29
dcd,udk-dcd,124.05,151.07
dcd,dcd,124.05,151.07
dcm,dcm-vsr,17.96,38.13
dcp,dcp,70.57,92.56
dcrB,dcrB,281.6,375.75
dctA,dctA,105.59,147.15
dctR,slp-dctR,3415.06,2216.28
dcuA,aspA-dcuA,58.71,57.14
dcuA,dcuA,58.71,57.14
dcuB,dcuB-fumB,34.84,50.44
dcuC,dcuC,64.35,58.56
dcuD,dcuD,102.45,168.1
dcuR,dcuR,389.29,638.77
dcuR,dcuSR,389.29,638.77
dcuS,dcuSR,91.08,99.46
dcyD,dcyD-yecSC,47.33,34.26
ddlA,ddlA,1985.73,3391
ddlB,mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,64.56,29.37
ddlB,mraW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,64.56,29.37
ddlB,ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,64.56,29.37
ddpA,ddpXABCDF,71.19,82.85
ddpB,ddpXABCDF,12.45,33.06
ddpC,ddpXABCDF,52.08,98.02
ddpD,ddpXABCDF,21.51,34.26
ddpF,ddpXABCDF,1433.93,2509.85
ddpX,ddpXABCDF,29.19,34.86
deaD,deaD,137.07,257.66
deaD,yrbN-deaD,137.07,257.66
dedA,usg-truA-dedA,70.78,81.98
dedA,pdxB-usg-truA-dedA,70.78,81.98
dedA,dedA,70.78,81.98
dedD,folC-dedD,6.41,10.2
dedD,dedD,6.41,10.2
def,def-fmt,183.2,26.52
degP,degP,95.37,75.94
degQ,degQS,34.15,64.27
degS,degQS,127.25,227.98
deoA,deoCABD,67.41,97.13
deoA,deoA,67.41,97.13
deoB,deoCABD,93.68,44.21
deoB,deoBD,93.68,44.21
deoB,deoA,93.68,44.21
deoC,deoCABD,59.89,52.03
deoD,deoCABD,117.97,56.36
deoD,deoBD,117.97,56.36
deoD,deoA,117.97,56.36
deoR,deoR,447.62,793.08
der,bamB-der,92.26,119.38
dfp,dfp,6.96,22.16
dgkA,dgkA,1645.79,3005.99
dgoA,dgoRKADT,6.87,10.94
dgoD,dgoRKADT,22.18,41.2
dgoR,dgoRKADT,12.31,29.41
dgsA,dgsA,219.12,293.58
dgsA,dgsA-ynfK,219.12,293.58
dgt,dgt,92.32,53.47
dhaK,dhaKLM,43.62,44.21
dhaL,dhaKLM,13.42,10.68
dhaM,dhaKLM,95.77,195.42
dhaM,dhaM,95.77,195.42
dhaR,dhaR,64.14,52.84
diaA,diaA,86.23,91.55
dicA,dicA,156.13,248.66
dicB,dicB-ydfDE-insD-intD,22.47,0
