atpD,atpBEFHAGDC,85.8,63.58
atpE,atpBEFHAGDC,27.47,56.36
atpE,atpIBEFHAGDC,27.47,56.36
atpF,atpIBEFHAGDC,14,57.44
atpF,atpBEFHAGDC,14,57.44
atpG,atpIBEFHAGDC,30.52,39.14
atpG,atpBEFHAGDC,30.52,39.14
atpH,atpIBEFHAGDC,0,38
atpH,atpBEFHAGDC,0,38
atpI,atpIBEFHAGDC,51.91,53.26
avtA,avtA,241.82,210.35
azoR,azoR,261.07,245.54
azuC,azuC,151.54,233.22
bacA,bacA,112.27,148.11
baeR,mdtABCD-baeSR,127.65,196.45
baeR,baeSR,127.65,196.45
baeS,mdtABCD-baeSR,23.48,48.17
baeS,baeSR,23.48,48.17
bamA,bamA,92.12,136.21
bamA,bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE,92.12,136.21
bamB,bamB-der,22.37,57.37
bamC,bamC,12.74,32.67
bamC,dapA-nlpB,12.74,32.67
bamD,bamD,687.8,916.46
bamE,smpA,212.03,197.76
barA,barA,86.08,122.66
basR,basRS,0,0
basS,basRS,422.57,260.13
basS,basS,422.57,260.13
bax,bax,135.84,196.76
bcp,bcp,195.94,244.12
bcr,bcr,487.08,1323.17
bcsA,bcsABZC,22.65,46.48
bcsB,bcsBZ,50.71,69.37
bcsB,bcsABZC,50.71,69.37
bcsC,bcsABZC,36.05,42.83
bcsE,bcsEFG,96.45,107.56
bcsF,bcsEFG,68.67,35.23
bcsG,bcsEFG,39.24,56.36
bcsQ,bcsQ,43.77,44.91
bcsZ,bcsBZ,23.82,6.11
bcsZ,bcsABZC,23.82,6.11
bdcA,bdcA,313.91,426.27
bdcR,bdcR,44.39,125.25
bdm,bdm-sra,0,31.31
betA,betIBA,11.84,20.24
betA,betA,11.84,20.24
betB,betIBA,26.85,27.55
betI,betIBA,22.42,34.51
betT,betT,58.34,83.13
bfd,bfd-bfr,0,69.37
bfr,bfr,525.16,524.63
bfr,bfd-bfr,525.16,524.63
bglA,bglA,96.14,75.15
bglB,bglGFB,18.66,57.44
bglF,bglGFB,270.28,522.21
bglG,bglGFB,7.88,32.32
bglH,bglH-yieLK,24.46,29.28
bglJ,yjjQ-bglJ,9.72,179.56
bglX,bglX,120.48,44.15
bhsA,ycfR,127.75,288.37
bhsA,bhsA,127.75,288.37
bioA,bioA,25.55,62.92
bioB,bioBFCD,120.32,110.45
bioC,bioBFCD,17.44,71.57
bioD,bioBFCD,77.78,129.68
bioF,bioBFCD,28.54,58.56
bioH,bioH,282.15,464.93
birA,murB-birA,40.94,133.03
bisC,bisC,64.96,60.85
blc,blc,469.1,1127.25
blr,blr,52.32,53.68
bolA,bolA,725.55,574.26
borD,borD,44.84,69.02
brnQ,brnQ-proY,49.94,40.99
bsmA,bsmA,159.81,143.47
bssR,bssR,291.84,457.94
bssS,bssS,180.96,79.57
btuB,btuB-murI,75.03,95.31
btuC,btuCED,47.04,55.16
btuD,btuCED,35.16,27.05
btuE,btuCED,71.65,36.76
btuF,mtn-btuF-yadS,32.92,84.44
btuR,yciK-btuR,22.31,91.55
cadA,cadA,107.41,147.99
cadA,cadBA,107.41,147.99
cadB,cadBA,24.69,55.73
cadC,cadC,68.53,180.18
caiA,caiTABCDE,0,11.83
caiB,caiTABCDE,10.82,16.66
caiC,caiTABCDE,29.69,56.58
caiC,caiCDE,29.69,56.58
caiD,caiTABCDE,25.16,25.81
caiD,caiCDE,25.16,25.81
caiE,caiCDE,412.71,1235.96
caiE,caiE,412.71,1235.96
caiE,caiTABCDE,412.71,1235.96
caiF,caiF,532.7,649.02
caiT,caiTABCDE,4.35,8.93
can,can,2187.43,3060.4
carA,carAB,22.95,41.2
carB,carAB,32.74,69.27
carB,carB,32.74,69.27
cas1,casABCDE12,28.72,14.74
cas1,casDE-ygbTF,28.72,14.74
cas2,ygbF,46.26,0
cas2,casDE-ygbTF,46.26,0
cas2,casABCDE12,46.26,0
cas3,cas3,27.19,58.33
